,name
208,"E 209 400008 2Nd & 4Th Lane,Kamathipura"
209,"E 210 400008 Fire Brigade Office,Shaikh Hafizuddin Marg,Behind Bmc E Ward Office,Byculla"
210,"E 211 400008 Aksa Manzil,M A Road Madanpura,Ghosh Bazar,Byculla Congested Area"
211,"E 212 400008 7Th Gully,Kamthipura,Byculla Congested Area"
212,"E 213 400008 Acharwala Building,Undriya Street Nagpada,Nagpada,Byculla"
213,"E 214 400008 Haji Building, Opposite Garden Hall,Vasil Khan Marg, Ahbedhi Bakhri Retha Bakri,Nagpada,Byculla"
214,"E 215 400008 Bmc Chawl, Milind Nagar,Tank Pakadi Road,Opposite Shamim Palace,Byculla Congested Area"
215,"E 216 400008 Bavala Building,Megraj Sethi Marg,Near Badlu Rangari Street, Huda Masjid,Byculla"
216,"E 217 400008 Hiraji Govindji Bldg.,Sir J J Road,Richardson Crudas,Byculla"
217,"E 218 400008 Arkediya Bldg,Near J J Road,Byculla"
218,"E 219 400008 Sidharth Nagar,Nagpada,Eye Hospital,Byculla"
219,"E 220 400008 Old Boys Hostel J J Compound Quarters,Jj Road,Jj Hospital,Byculla"
220,"E 221 400008 Bootvala Building Roadside Saloon,Dimtimkar Road Nagpada,Opposite Ahmed Solar School,Byculla"
221,"E 222 400008 Chasmawali Chawl Ghosht Bajar,Mohb. U Rajja Road Madanpura,Byculla Congested Area"
222,"E 223 400008 Suhag Palace Ymca Ground,Agripada,Ymca Ground,Byculla"
223,"E 224 400008 Mt Section B Block Near Sevaniketan Petrol Pump,Sheafered Road,Shankar Mandir,Byculla"
224,"E 225 400008 Mt Real Building 2Tank,Ma Road,Police Chowki,Byculla"
225,"E 226 400008 Building No.101,6Th Lane,Shankar Pupala Road,Nakoda Medical Store,Byculla"
226,"E 227 400008 Mombatti Manzil,Mohd Umar Razzak Road,Ghoshbazar Opp. Mohd Razzak School,Byculla"
227,"E 228 400008 Chawl No.21, Kazipura,M.A.Road,Next To Sagar Hotel,Byculla"
228,"E 229 400008 Jamunadas Building,2Taki,Nagpada,Near V.P. Road Police Station,Nagpada"
229,"E 230 400008 Pattharvali Building Baban Gully,Sakali Street,Ashadhan,Byculla"
230,"E 231 400008 Sutar Gully,Morland Road,Ghosht Bajar,Byculla"
231,"E 232 400008 Aarcivala Building,3Rd Pirkhan Street,Opp. Zulfikar Hotel,Byculla"
232,"E 233 400008 Gajghar Building, Jj Hospital Nagpada,27 Undriya Street,Masjid,Byculla"
233,"E 234 400008 Vidyut Locoshed,Shivdas Chapsi Road Mazgaon, Infinity Tower,Byculla Congested Area"
234,"E 235 400008 Om Niwas Kamthipura 8Th Lane,Nagpada,Nagpada Police Station,Byculla"
235,"E 236 400008 Bmc Chawl,Kamathipura,Joshi Bhaji Market,Byculla Congested Area"
236,"E 237 400008 Shivam Appartment,Kamathipura Morland Road,Bhaji Market,Byculla"
237,"E 238 400008 Zainab Tower,Nagpada,Opposite Samudra Resturant,Nagpada"
238,"E 239 400008 Suchak Building 8Th Lane,Kamathipura,Amin Patel Office,Byculla"
239,"E 240 400008 Supreme Heights,2Nd Kamathipura,Shuklaji Street,Byculla"
240,"E 241 400008 Mestry Ki Chawl,2Nd Gelabai Madanpura,Ghosht Bajar,Byculla Congested Area"
241,"E 242 400008 Bandukwala House,Sakali Street,Ashadhan,Byculla"
242,"E 243 400008 Memni Building,Nagpada,Daood Nursing Home,Nagpada"
243,"E 244 400008 Jainam Tower,Ma Road,Near Mane Garden,Nagpada"
244,"E 245 400008 Dhodhwala Complex,Belasis Road,City Mall,Bombay Central"
245,"E 246 400008 Jj Hospital Metron Office,Jj Road,Jj Hospital,Byculla"
246,"E 247 400008 Niwasi Residence Hostel(Boys),Jj Road,Jj Hospital,Byculla"
247,"E 248 400008 Fakri Manzil,Nagpada,Opp. Bismilla Heights,Teli Mohalla"
248,"E 249 400008 Haji Kasam Chawl,Nagpada,Teli Mohalla Congested Area"
249,"E 250 400008 Dhanvantari Building In Jj Hosp.,Jj Road,Jj Hospital,Byculla"
250,"E 251 400008 Temkar Street,Near Alham Tower,Nagpada"
251,"E 252 400008 Rasul Manzil,Hujeria Street,Jj Hospital,Byculla"
252,"E 253 400008 Mt Section,Sheferd Road,Opp. Sabu Siddiqui College,Nagpada"
253,"E 254 400008 Dudhwala Building/Rasul Jiba Building,Sk Burhan Street,Telli Mohalal,Nagpada"
254,"E 255 400008 Affiya Heights,Dimtimkar Road,Near Goodluck Motor Training School,Nagpada"
255,"E 256 400008 Yusuf Manzil,Nagpada,Opp. Police Hospital,Nagpada"
256,"E 257 400008 Sidddharth Nagar,Shanak Pupala Marg,Behind Eye Hosp.,Byculla"
257,"E 258 400008 2 Panchashil Nagar 23.169,5Th Lane Kamathipura,Police Chowky,Kamathipura"
258,"E 259 400008 Sidharth Nagar,Shanak Pupala Marg,Behind Eye Hosp.,Byculla"
259,"E 260 400008 Building No.32,S P Road,Opp. Amim Patel Office,Kamathipura"
260,"E 261 400008 Java Masjid Building,Arbia Belasis Road,Above Arabia Hotel,Kamathipura"
261,"E 262 400008 Daoodi Bohra Trust Building No.390,4Th Pirkhan Street Sir Jj Road,Jj Road,Nagpada"
262,"E 263 400010 Sanjay Gandhi Nagar,J J Marg,Railway Compound,Mazgaon Congested Area"
263,"E 264 400010 Sana Height,Barkat Ali Virani Marg,Nagpada"
264,"E 265 400010 Belvedar Hill,Shivdas Chapsi Marg,Next To St. Peter School,Mazgaon"
265,"E 266 400010 Lakdi Bander Motor Line Daru Khana,Motor Line Daru Khana,Udipi Hotel,Mazgaon Congested Area"
266,"E 267 400010 Byculla Police Line Quarters,Hansraj Lane,Byculla Police Station,Byculla East"
267,"E 268 400010 Kawla Bundar,Reay Road,Near Mariamma Mandar, New Tank Bundar Road,Reay Road Congested Area"
268,"E 269 400010 Vishal Tower,Love Lane Motishah Lane,Near Suprabhat Hotel,Mazgaon"
269,"E 270 400010 New Irani Chawl,Rambhau Bhogle Marg Ghodpdeo,Opposite Piramal Construction,Mazgaon Congested Area"
270,"E 271 400010 Bit Chawl No. 2,Love Lane Road,Mcgm Despensary,Mazgaon Congested Area"
271,"E 272 400010 Shinde Chawl Nariyalwadi,Rambhau Bhogle Marg,Kedar Hospital,Mazgaon Congested Area"
272,"E 273 400010 Sunni Kabrasthan Reay Road(Inside),Sant Savta Marg,Drk Chowki,Raey Road Congested Area"
273,"E 274 400010 Bit Talwadi Chawl,Saint Merry Road,Talwadi Municipalty School,Mazgaon Congested Area"
274,"E 275 400010 Bit Chawl,Tadwadi Mazgaon Transit Team,Icici Bank,Mazgaon Congested Area"
275,"E 276 400010 Tadwadi Bit Chawl No.5,St. Marry Road,Mazgaon Municipal School,Byculla"
276,"E 277 400010 Khodadat Chawl D'Leema Street(Bakery),Pralahad Chendavankar Marg,Rosery School,Mazgaon"
277,"E 278 400010 Kawla Bunder Pakhija Gully,Raey Road,Jeevandhara Balvadi,Raey Road"
278,"E 279 400010 Saheb Gully,Dr. Mascarence Road,Behind Tank Square Dispensary,Mazgaon"
279,"E 280 400010 Tariya House, 39/A, Navanagar,Dockyard Road,Dockyard Station,Mazgaon"
280,"E 281 400010 Tulsiwadi,Matar Pakhadi Road,Bhamarsingh Mithaiwala,Byculla Congested Area"
281,"E 282 400010 Bit Bldg. No. 12, St. Marry Road,Tadwadi Municipal School,Mazgaon"
282,"E 283 400010 Adamkhan Building,D N Singh Road,Near Sahakari Bhanadar,Hathibaug"
